"Antibody","Virus","Study","IC50 (ug/mL)"
"3BNC117/10-1074-IgG3C","Q23_17","Bournazos2016_dataset1","0.011"
"3BNC117/PGT135-IgG3C","Q23_17","Bournazos2016_dataset1","0.014"
"3BNC117/PGT135-IgG3C","Q23_17","Wagh2018","0.014"
"8ANC195/PGT128-IgG3C","Q23_17","Bournazos2016_dataset1","0.016"
"M36/PRO-140","Q23_17","Khan2018_dataset1","0.0019"
"N6/10E8v4-PGDM1400","Q23_17","Xu2017","0.0006"
"N6/PGDM1400-10E8v4","Q23_17","Xu2017","0.001"
"PG16/10-1074","Q23_17","Bournazos2016_dataset1","0.001"
"PG16/PGT121","Q23_17","Bournazos2016_dataset1","0.001"
"PG16/PGT128","Q23_17","Bournazos2016_dataset1","0.001"
"PGDM1400/PRO-140","Q23_17","Khan2018_dataset1","0.0007"
"PGT151/10-1074-IgG3C","Q23_17","Bournazos2016_dataset1","0.01"
"PGT151/35O22","Q23_17","Bournazos2016_dataset1","0.04"
"PRO-140/PGDM1400/PGT121","Q23_17","Khan2018_dataset1","0.001"
"RoAb13/PGDM1400/PGT121","Q23_17","Khan2018_dataset1","0.0012"
"VRC01-0fH/0fL","Q23_17","Georgiev2014",">50"
"VRC01-30fH/10fL","Q23_17","Georgiev2014","0.04"
"VRC01-30fH/19fL","Q23_17","Georgiev2014","0.075"
"VRC01-5fH/0fL","Q23_17","Georgiev2014",">50"
"VRC01-5fH/10fL","Q23_17","Georgiev2014","0.132"
"VRC01-5fH/6fL","Q23_17","Georgiev2014","0.101"
"VRC01-8fH/10fL","Q23_17","Georgiev2014","0.178"
"VRC01-8fH/19fL","Q23_17","Georgiev2014","0.23"
"VRC01-8fH/6fL","Q23_17","Georgiev2014","0.293"
"VRC01/PGDM1400-10E8v4","Q23_17","Xu2017","0.002"
"10E8/PGT121/PGDM1400.V8","Q259_17","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","Q259_17","Khan2018_dataset3","0.3553"
"10E8V1.1/P140","Q259_17","Huang2016","0.009"
"10E8V2.0/iMab","Q259_17","Huang2016","0.004"
"10E8V2.0/iMab","Q259_17","Wagh2018","0.004"
"3BNC117/10-1074","Q259_17","Bournazos2016_dataset1","0.359"
"3BNC117/10-1074-IgG3C","Q259_17","Bournazos2016_dataset1","0.081"
"3BNC117/PGT135-IgG3C","Q259_17","Bournazos2016_dataset1","0.022"
"3BNC117/PGT135-IgG3C","Q259_17","Wagh2018","0.022"
"8ANC195/PGT128-IgG3C","Q259_17","Bournazos2016_dataset1",">30"
"N6/10E8v4-PGDM1400","Q259_17","Xu2017","0.028"
"N6/PGDM1400-10E8v4","Q259_17","Xu2017","0.015"
"PG16/PGT121","Q259_17","Bournazos2016_dataset1","0.224"
"PG16/PGT128","Q259_17","Bournazos2016_dataset1","0.213"
"PGT151/10-1074-IgG3C","Q259_17","Bournazos2016_dataset1","0.237"
"PGT151/35O22","Q259_17","Bournazos2016_dataset1","5.89"
"VRC01/PGDM1400-10E8v4","Q259_17","Xu2017","0.002"
"10E8/N6","Q461_E2","Khan2018_dataset1","0.0323"
"10E8/PGDM1400/PRO-140","Q461_E2","Khan2018_dataset1","0.029"
"10E8/PGT121/PGDM1400.V8","Q461_E2","Khan2018_dataset1","1.682"
"10E8/PGT121/PGDM1400.V8","Q461_E2","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","Q461_E2","Khan2018_dataset3","0.1946"
"10E8/PGT121/PGDM1400.V8LL","Q461_E2","Khan2018_dataset3","0.6814"
"10E8V1.1/P140","Q461_E2","Huang2016","0.005"
"10E8V2.0/iMab","Q461_E2","Huang2016","0.003"
"10E8V2.0/iMab","Q461_E2","Wagh2018","0.003"
"3BNC117/10-1074","Q461_E2","Bournazos2016_dataset2","0.142"
"3BNC117/10-1074","Q461_E2","Bournazos2016_dataset1","0.167"
"3BNC117/10-1074-IgG3C","Q461_E2","Bournazos2016_dataset1","0.142"
"3BNC117/PGT135-IgG3C","Q461_E2","Wagh2018","0.026"
"3BNC117/PGT135-IgG3C","Q461_E2","Bournazos2016_dataset1","0.709"
"8ANC195/PGT128-IgG3C","Q461_E2","Bournazos2016_dataset1","0.128"
"M36/PRO-140","Q461_E2","Khan2018_dataset1","0.0109"
"N6/10E8v4-PGDM1400","Q461_E2","Xu2017","0.91"
"N6/PGDM1400-10E8v4","Q461_E2","Xu2017","0.145"
"PG16/10-1074","Q461_E2","Bournazos2016_dataset2","1.151"
"PG16/10-1074","Q461_E2","Bournazos2016_dataset1","26.032"
"PG16/PGT121","Q461_E2","Bournazos2016_dataset2","0.706"
"PG16/PGT121","Q461_E2","Bournazos2016_dataset1","5.863"
"PG16/PGT128","Q461_E2","Bournazos2016_dataset2","0.246"
"PG16/PGT128","Q461_E2","Bournazos2016_dataset1","7.703"
"PGDM1400/PRO-140","Q461_E2","Khan2018_dataset1","0.0701"
"PGT151/10-1074-IgG3C","Q461_E2","Bournazos2016_dataset1","0.471"
"PGT151/35O22","Q461_E2","Bournazos2016_dataset1","0.306"
"PRO-140/PGDM1400/PGT121","Q461_E2","Khan2018_dataset1","1.349"
"RoAb13/PGDM1400/PGT121","Q461_E2","Khan2018_dataset1","3.646"
"VRC01/PGDM1400-10E8v4","Q461_E2","Xu2017","0.116"
"10E8/N6","Q769_D22","Khan2018_dataset1","0.1504"
"10E8/PGDM1400/PRO-140","Q769_D22","Khan2018_dataset1","0.005"
"10E8/PGT121/PGDM1400.V8","Q769_D22","Khan2018_dataset1","0.0012"
"10E8V1.1/P140","Q769_D22","Huang2016","0.002"
"10E8V2.0/iMab","Q769_D22","Huang2016","0.005"
"10E8V2.0/iMab","Q769_D22","Wagh2018","0.005"
"3BNC117/10-1074","Q769_D22","Bournazos2016_dataset1","0.028"
"3BNC117/10-1074-IgG3C","Q769_D22","Bournazos2016_dataset1","0.014"
"3BNC117/PGT135-IgG3C","Q769_D22","Bournazos2016_dataset1","0.011"
"3BNC117/PGT135-IgG3C","Q769_D22","Wagh2018","0.011"
"8ANC195/PGT128-IgG3C","Q769_D22","Bournazos2016_dataset1","0.111"
"M36/PRO-140","Q769_D22","Khan2018_dataset1","0.0001"
"N6/10E8v4-PGDM1400","Q769_D22","Xu2017","0.008"
"N6/PGDM1400-10E8v4","Q769_D22","Xu2017","0.008"
"PG16/PGT121","Q769_D22","Bournazos2016_dataset1","0.176"
"PG16/PGT128","Q769_D22","Bournazos2016_dataset1","0.135"
"PGDM1400/PRO-140","Q769_D22","Khan2018_dataset1","0.0053"
"PGT151/10-1074-IgG3C","Q769_D22","Bournazos2016_dataset1",">30"
"PGT151/35O22","Q769_D22","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","Q769_D22","Khan2018_dataset1","0.026"
"RoAb13/PGDM1400/PGT121","Q769_D22","Khan2018_dataset1","0.0223"
"VRC01/PGDM1400-10E8v4","Q769_D22","Xu2017","0.001"
"10E8-0fH/0fL","Q769_H5","Georgiev2014","7.79"
"10E8-0fH/4fL","Q769_H5","Georgiev2014","1.04"
"10E8-10fH/10fL","Q769_H5","Georgiev2014","5.31"
"10E8-10fH/16fL","Q769_H5","Georgiev2014","0.941"
"10E8-10fH/4fL","Q769_H5","Georgiev2014","13.7"
"10E8-19fH/10fL","Q769_H5","Georgiev2014","1.13"
"10E8-19fH/16fL","Q769_H5","Georgiev2014","0.292"
"10E8-2fH/0fL","Q769_H5","Georgiev2014",">50"
"10E8-2fH/10fL","Q769_H5","Georgiev2014","2.7"
"10E8-2fH/4fL","Q769_H5","Georgiev2014","37.4"
"N6/10E8v4-PGDM1400","Q769_H5","Xu2017","0.007"
"N6/PGDM1400-10E8v4","Q769_H5","Xu2017","0.006"
"VRC01-0fH/0fL","Q769_H5","Georgiev2014",">50"
"VRC01-30fH/10fL","Q769_H5","Georgiev2014","0.052"
"VRC01-30fH/19fL","Q769_H5","Georgiev2014","0.061"
"VRC01-5fH/0fL","Q769_H5","Georgiev2014","0.08"
"VRC01-5fH/10fL","Q769_H5","Georgiev2014","0.088"
"VRC01-5fH/6fL","Q769_H5","Georgiev2014","0.072"
"VRC01-8fH/10fL","Q769_H5","Georgiev2014","0.047"
"VRC01-8fH/19fL","Q769_H5","Georgiev2014","0.163"
"VRC01-8fH/6fL","Q769_H5","Georgiev2014","0.051"
"VRC01/PGDM1400-10E8v4","Q769_H5","Xu2017","0.013"
"10E8V1.1/P140","Q842_D12","Huang2016","0.002"
"10E8V2.0/iMab","Q842_D12","Huang2016","0.02"
"10E8V2.0/iMab","Q842_D12","Wagh2018","0.02"
"3BNC117/10-1074","Q842_D12","Bournazos2016_dataset1","0.019"
"3BNC117/10-1074-IgG3C","Q842_D12","Bournazos2016_dataset1","0.014"
"3BNC117/PGT135-IgG3C","Q842_D12","Bournazos2016_dataset1","0.007"
"3BNC117/PGT135-IgG3C","Q842_D12","Wagh2018","0.007"
"8ANC195/PGT128-IgG3C","Q842_D12","Bournazos2016_dataset1","0.08"
"N6/10E8v4-PGDM1400","Q842_D12","Xu2017","0.003"
"N6/PGDM1400-10E8v4","Q842_D12","Xu2017","0.002"
"PG16/PGT121","Q842_D12","Bournazos2016_dataset1","0.023"
"PG16/PGT128","Q842_D12","Bournazos2016_dataset1","0.023"
"PGT151/10-1074-IgG3C","Q842_D12","Bournazos2016_dataset1","0.028"
"PGT151/35O22","Q842_D12","Bournazos2016_dataset1","0.045"
"VRC01/PGDM1400-10E8v4","Q842_D12","Xu2017","0.009"
"N6/10E8v4-PGDM1400","QH0515_1","Xu2017","1.51"
"N6/PGDM1400-10E8v4","QH0515_1","Xu2017","0.361"
"VRC01/PGDM1400-10E8v4","QH0515_1","Xu2017","1.08"
"10E8/N6","QH0692_42","Khan2018_dataset1","0.1118"
"10E8/PGDM1400/PRO-140","QH0692_42","Khan2018_dataset1","0.029"
"10E8/PGT121/PGDM1400.V8","QH0692_42","Khan2018_dataset1","0.2857"
"10E8V1.1/P140","QH0692_42","Huang2016","0.011"
"10E8V2.0/iMab","QH0692_42","Huang2016","0.005"
"3BNC117/10-1074","QH0692_42","Bournazos2016_dataset1","0.282"
"3BNC117/10-1074-IgG3C","QH0692_42","Bournazos2016_dataset1","0.175"
"3BNC117/PGT135-IgG3C","QH0692_42","Bournazos2016_dataset1","0.017"
"8ANC195/PGT128-IgG3C","QH0692_42","Bournazos2016_dataset1","0.018"
"M36/PRO-140","QH0692_42","Khan2018_dataset1","0.031"
"N6/10E8v4-PGDM1400","QH0692_42","Xu2017","1.44"
"N6/PGDM1400-10E8v4","QH0692_42","Xu2017","0.721"
"PG16/PGT121","QH0692_42","Bournazos2016_dataset1",">40"
"PG16/PGT128","QH0692_42","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","QH0692_42","Khan2018_dataset1","4.517"
"PGT151/10-1074-IgG3C","QH0692_42","Bournazos2016_dataset1","0.019"
"PGT151/35O22","QH0692_42","Bournazos2016_dataset1","0.15"
"PRO-140/PGDM1400/PGT121","QH0692_42","Khan2018_dataset1","9.23"
"RoAb13/PGDM1400/PGT121","QH0692_42","Khan2018_dataset1",">40"
"VRC01/PGDM1400-10E8v4","QH0692_42","Xu2017","0.8"
"N6/10E8v4-PGDM1400","QH209_14M_A2","Xu2017","0.036"
"N6/PGDM1400-10E8v4","QH209_14M_A2","Xu2017","0.017"
"VRC01/PGDM1400-10E8v4","QH209_14M_A2","Xu2017","0.029"
"10E8/N6","R1166_C1","Khan2018_dataset1","0.2379"
"10E8/PGDM1400/PRO-140","R1166_C1","Khan2018_dataset1","0.034"
"10E8/PGT121/PGDM1400.V8","R1166_C1","Khan2018_dataset1","2.256"
"10E8V1.1/P140","R1166_C1","Huang2016","0.01"
"10E8V2.0/iMab","R1166_C1","Huang2016","0.003"
"3BNC117/10-1074","R1166_C1","Bournazos2016_dataset1","0.354"
"3BNC117/10-1074-IgG3C","R1166_C1","Bournazos2016_dataset1","0.305"
"3BNC117/PGT135-IgG3C","R1166_C1","Bournazos2016_dataset1","0.044"
"8ANC195/PGT128-IgG3C","R1166_C1","Bournazos2016_dataset1","1.348"
"M36/PRO-140","R1166_C1","Khan2018_dataset1","0.0901"
"N6/10E8v4-PGDM1400","R1166_C1","Xu2017","0.883"
"N6/PGDM1400-10E8v4","R1166_C1","Xu2017","0.513"
"PG16/10-1074","R1166_C1","Bournazos2016_dataset1","41.588"
"PG16/PGT121","R1166_C1","Bournazos2016_dataset1","4.583"
"PG16/PGT128","R1166_C1","Bournazos2016_dataset1","5.646"
"PGDM1400/PRO-140","R1166_C1","Khan2018_dataset1","0.7704"
"PGT151/10-1074-IgG3C","R1166_C1","Bournazos2016_dataset1",">30"
